项目,2018.12.31,2017.12.31,2016.12.31
项目,2018.12.31,2017.12.31,2016.12.31
其他非流动资产,"303,500.00",-,-
非流动资产合计,"25,683,888.91","12,560,941.04","12,646,026.95"
资产总计,"327,339,142.06","260,854,816.65","180,215,462.46"
流动负债：,,,
短期借款,"15,000,000.00","15,000,000.00","36,000,000.00"
应付票据及应付账款,"21,512,099.27","21,370,411.43","19,331,482.50"
预收款项,"4,107,548.59","2,290,960.60","40,000.00"
应付职工薪酬,"8,456,457.50","7,024,150.38","5,036,194.14"
应交税费,"30,321,731.14","19,233,925.17","12,100,027.46"
其他应付款,"823,692.09","26,374,554.71","3,968,128.56"
流动负债合计,"80,221,528.59","91,294,002.29","76,475,832.66"
非流动负债：,,,
非流动负债合计,-,-,-
负债合计,"80,221,528.59","91,294,002.29","76,475,832.66"
所有者权益：,,,
股本,"55,200,000.00","52,250,000.00","33,000,000.00"
资本公积,"44,985,280.80","21,935,280.80","14,710,280.80"
盈余公积,"17,155,387.19","11,477,207.28","7,295,088.82"
未分配利润,"129,776,945.48","83,898,326.28","48,734,260.18"
所有者权益合计,"247,117,613.47","169,560,814.36","103,739,629.80"
负债和所有者权益总计,"327,339,142.06","260,854,816.65","180,215,462.46"
