项目,2018 年度,,2017 年度,,2016 年度,
项目,2018 年度,,2017 年度,,2016 年度,
,金额,占比,金额,占比,金额,占比
职工薪酬,"1,142.98",54.34%,905.74,63.24%,826.62,60.34%
开办费,214.90,10.22%,-,-,-,-
交通及差旅费,94.98,4.52%,78.83,5.50%,109.45,7.99%
"长期资产折旧及摊
销费用",86.88,4.13%,87.42,6.10%,155.32,11.34%
办公及业务招待费,115.16,5.47%,91.87,6.41%,105.70,7.71%
租赁费,81.52,3.88%,81.32,5.68%,29.87,2.18%
检测费,131.13,6.23%,22.52,1.57%,1.74,0.13%
咨询服务费,82.47,3.92%,62.30,4.35%,30.31,2.21%
其他,153.55,7.30%,102.32,7.14%,111.04,8.10%
合计,"2,103.56",100.00%,"1,432.34",100.00%,"1,370.05",100.00%
