4,"兴图
新科","XT6580 主控席
位软件V10.02","软著变字第2
0111508 号","2006SR153
66","2006.03.3
0","2006.11.0
2","原始
取得"
4,"兴图
新科","XT6580 主控席
位软件V10.02","软著变字第2
0111508 号","2006SR153
66","2006.03.3
0","2006.11.0
2","原始
取得"
5,"兴图
新科","XT6900 中心管
理服务系统V10.
02","软著变字第2
0111510 号","2006SR153
64","2006.03.3
0","2006.11.0
2","原始
取得"
6,"兴图
新科","XT6400 存储服
务管理系统V10.
02","软著变字第2
0111517 号","2006SR155
88","2006.03.3
0","2006.11.0
7","原始
取得"
7,"兴图
新科","XT8000 指挥调
度系统V9.0","软著登字第0
63255 号/
软著变字第2
0111511 号","2006SR155
89","2006.04.2
0","2006.11.0
7","原始
取得"
8,"兴图
新科","XT7000 庭审采
编直播服务系统
V3.0","软著变字第2
0111516 号","2008SR059
67","2007.11.2
8","2008.03.2
1","原始
取得"
9,"兴图
新科","OpenVone 安防
软件开发引擎系
统V1.0","软著登字第1
07484 号","2008SR203
05","2008.07.0
8","2008.09.2
3","原始
取得"
10,"兴图
新科","OpenVone 音视
频中间件软件V
1.0","软著登字第0
284929 号","2011SR021
255","2008.07.0
8","2011.04.1
8","原始
取得"
11,"兴图
新科","智能视频分析软
件V1.0","软著登字第0
252927 号/
软著变字第2
0111514 号","2010SR064
654","2010.01.0
1","2010.12.0
1","原始
取得"
12,"兴图
新科","兴图●图安网络
视频录像机系统
V1.0","软著登字第0
230125 号/
软著变字第2
0111512 号","2010SR041
852","2010.05.1
9","2010.08.1
7","原始
取得"
13,"兴图
新科","兴图●图睿网络
视频管理平台系
统V1.0","软著登字第0
268279 号/软
著变字第201
11518 号","2011SR004
605","2010.07.1
0","2011.01.2
8","原始
取得"
14,"兴图
新科","便携式审讯全程
记录系统V2.0","软著登字第0
262943 号/
软著变字第2
0111509 号","2010SR074
670","2010.10.0
9","2010.12.3
0","原始
取得"
15,"兴图
新科","兴图新科固定式
审讯全程记录系
统V1.0","软著登字第0
341584 号","2011SR077
910","2011.10.1
9","2011.10.2
7","原始
取得"
16,"兴图
新科","兴图新科审讯远
程指挥系统V3.3","软著登字第0
370713 号","2012SR002
677","2011.11.1
5","2012.01.1
3","原始
取得"
