17,"兴图
新科","兴图新科窄带高
清音视频编码器
软件V1.0","软著登字第0
520716 号","2013SR014
954","2012.11.2
6","2013.02.2
0","原始
取得"
17,"兴图
新科","兴图新科窄带高
清音视频编码器
软件V1.0","软著登字第0
520716 号","2013SR014
954","2012.11.2
6","2013.02.2
0","原始
取得"
18,"兴图
新科","兴图新科会议记
录系统V1.0","软著登字第0
510400 号","2013SR004
638","2012.12.0
5","2013.01.1
5","原始
取得"
19,"兴图
新科","兴图新科指挥大
厅智能导播系统
V1.0","软著登字第0
517145 号","2013SR011
383","2012.12.1
8","2013.02.0
4","原始
取得"
20,"兴图
新科","兴图新科远程视
频接访系统V1.2","软著登字第0
725190 号","2014SR055
946","2013.12.0
2","2014.05.0
7","原始
取得"
21,"兴图
新科","兴图新科审讯笔
录管理系统V1.0","软著登字第0
707842 号","2014SR038
598","2013.12.0
5","2014.04.0
4","原始
取得"
22,"兴图
新科","XT5000 技勤终
端软件V4.25","软著登字第1
123173 号","2015SR236
087","2015.01.1
0","2015.11.2
7","原始
取得"
23,"兴图
新科","XT5090 运维终
端软件V4.25","软著登字第1
123080 号","2015SR235
994","2015.01.1
0","2015.11.2
7","原始
取得"
24,"兴图
新科","XT5020 首长终
端软件V4.25","软著登字第1
123073 号","2015SR235
987","2015.01.1
0","2015.11.2
7","原始
取得"
25,"兴图
新科","XT5960S 联网管
理服务软件V4.2
5","软著登字第1
123075 号","2015SR235
989","2015.01.1
0","2015.11.2
7","原始
取得"
26,"兴图
新科","XT5091 状态监
控软件V4.25","软著登字第1
124948 号","2015SR237
862","2015.01.1
0","2015.11.3
0","原始
取得"
27,"兴图
新科","XT5800S 流媒体
转发服务软件V
4.25","软著登字第1
131800 号","2015SR244
714","2015.01.1
0","2015.12.0
4","原始
取得"
28,"兴图
新科","便携式审讯全程
记录法律法规软
件V1.0","软著登字第1
213956 号","2016SR035
339","2015.01.1
0","2016.02.2
2","原始
取得"
29,"兴图
新科","综合管理服务软
件V4.25","软著登字第1
971295 号","2017SR386
011","2015.01.1
0","2017.07.2
0","原始
取得"
30,"兴图
新科","指挥交换单元软
件V4.25","软著登字第1
971186 号","2017SR385
902","2015.01.1
0","2017.07.2
0","原始
取得"
31,"兴图
新科","录像录时服务软
件V4.25","软著登字第1
433348 号","2016SR254
731","2015.08.1
0","2016.09.0
9","原始
取得"
32,"兴图
新科","多点控制器功能
模块软件V1.0","软著登字第1
432877 号","2016SR254
260","2016.07.1
3","2016.09.0
9","原始
取得"
33,"兴图
新科","视频会议终端模
块软件V1.0","软著登字第1
433871 号","2016SR255
254","2016.07.1
3","2016.09.0
9","原始
取得"
34,"兴图
新科","导播控制终端软
件V1.2","软著登字第1
433553 号","2016SR254
936","2016.07.1
5","2016.09.0
9","原始
取得"
35,"兴图
新科","监所AB 门管理
系统软件V1.0","软著登字第1
960231 号","2017SR374
947","2016.07.2
0","2017.07.1
7","原始
取得"
