项目,2018.12.31,2017.12.31,2016.12.31
项目,2018.12.31,2017.12.31,2016.12.31
流动资产：,,,
货币资金,"46,022,135.66","56,095,992.30","8,784,443.22"
应收票据及应收账款,"195,843,969.34","115,583,578.32","93,105,647.60"
预付款项,"4,656,611.76","3,094,572.28","1,547,651.74"
其他应收款,"1,113,335.70","1,392,419.08","1,427,326.17"
存货,"30,097,349.20","51,276,319.40","52,603,421.54"
其他流动资产,"149,868.81","543,841.51","565,015.84"
流动资产合计,"277,883,270.47","227,986,722.89","158,033,506.11"
非流动资产：,,,
固定资产,"8,151,912.21","7,146,470.00","7,815,138.15"
无形资产,"332,247.96","391,140.98","497,581.70"
长期待摊费用,"590,218.31","56,948.71","123,669.95"
递延所得税资产,"4,922,682.64","3,038,923.75","2,383,827.41"
其他非流动资产,"303,500.00",-,-
非流动资产合计,"14,300,561.12","10,633,483.44","10,820,217.21"
资产合计,"292,183,831.59","238,620,206.33","168,853,723.32"
流动负债：,,,
短期借款,"15,000,000.00","15,000,000.00","36,000,000.00"
应付票据及应付账款,"20,699,281.58","21,370,411.43","19,406,932.97"
预收款项,"4,110,048.59","2,290,960.60","40,000.00"
应付职工薪酬,"10,837,749.30","7,856,238.62","5,885,819.25"
应交税费,"30,747,860.60","19,420,069.89","12,123,499.26"
