项目,2018 年度,2017 年度,2016 年度
项目,2018 年度,2017 年度,2016 年度
一、经营活动产生的现金流量：,,,
销售商品、提供劳务收到的现金,"133,027,168.61","148,519,545.50","93,808,790.42"
收到的税费返还,"3,665,740.24","2,621,511.30","3,305,792.07"
收到其他与经营活动有关的现金,"3,097,994.96","1,829,349.57","905,262.28"
经营活动现金流入小计,"139,790,903.81","152,970,406.37","98,019,844.77"
购买商品、接受劳务支付的现金,"40,343,742.42","45,043,898.00","36,176,266.51"
支付给职工以及为职工支付的现金,"47,962,546.33","40,326,220.01","38,348,912.43"
支付的各项税费,"23,173,640.85","21,115,088.19","17,595,066.52"
支付其他与经营活动有关的现金,"25,676,910.82","23,664,551.17","15,522,874.38"
经营活动现金流出小计,"137,156,840.42","130,149,757.37","107,643,119.84"
经营活动产生的现金流量净额,"2,634,063.39","22,820,649.00","-9,623,275.07"
二、投资活动产生的现金流量：,,,
"处置固定资产无形资产长期资产收回
的现金","1,883.62",-,-
收到其他与投资活动有关的现金,-,-,-
投资活动现金流入小计,"1,883.62",-,-
"购建固定资产、无形资产和其他长期
资产支付的现金","2,633,789.48","621,137.77","446,662.40"
投资支付的现金,"10,000,000.00",-,"1,000,000.00"
支付其他与投资活动有关的现金,-,-,-
投资活动现金流出小计,"12,633,789.48","621,137.77","1,446,662.40"
投资活动产生的现金流量净额,"-12,631,905.86","-621,137.77","-1,446,662.40"
三、筹资活动产生的现金流量：,,,
吸收投资收到的现金,-,"50,000,000.00",-
取得借款收到的现金,"15,000,000.00","15,000,000.00","36,000,000.00"
收到其他与筹资活动有关的现金,-,-,"13,800,000.00"
筹资活动现金流入小计,"15,000,000.00","65,000,000.00","49,800,000.00"
偿还债务所支付的现金,"15,000,000.00","36,000,000.00","34,000,000.00"
