36,"兴图
新科","单兵控制软件V
1.0","软著登字第1
962300 号","2017SR377
016","2016.10.0
8","2017.07.1
7","原始
取得"
36,"兴图
新科","单兵控制软件V
1.0","软著登字第1
962300 号","2017SR377
016","2016.10.0
8","2017.07.1
7","原始
取得"
37,"兴图
新科","监所安防综合管
理平台软件V2.5","软著登字第1
964608 号","2017SR379
324","2016.11.1
0","2017.07.1
8","原始
取得"
38,"兴图
新科","安防视频分析预
警平台V1.1.1","软著登字第3
327385 号","2018SR998
290","2017.01.0
2","2018.12.1
1","原始
取得"
39,"兴图
新科","监所外来人员及
车辆审批管理系
统软件V1.0","软著登字第1
972256 号","2017SR386
972","2017.03.1
0","2017.07.2
0","原始
取得"
40,"兴图
新科","监所应急指挥管
理系统软件V2.5","软著登字第1
972049 号","2017SR386
765","2017.03.1
0","2017.07.2
0","原始
取得"
41,"兴图
新科","XT8042 网络化
视频指挥系统V
5.0","软著登字第3
420068 号","2018SR109
0973","2017.09.3
0","2018.12.2
9","原始
取得"
42,"兴图
新科","多媒体协同交互
平台V1.3.1","软著登字第3
327470 号","2018SR998
375","2017.12.1
5","2018.12.1
1","原始
取得"
43,"武汉
启目","任易屏APP软件
（Android 版）V
1.0.0.5","软著登字第1
521686 号","2016SR343
070","2016.09.1
5","2016.11.2
8","原始
取得"
44,"武汉
启目","任易屏ios 端软
件V2.0","软著登字第2
547622 号","2018SR218
527","2016.12.1
5","2018.03.2
9","原始
取得"
45,"武汉
启目","任易屏软件（PC
端）V2.1","软著登字第1
987344 号","2017SR402
060","2017.05.0
4","2017.07.2
6","原始
取得"
46,"武汉
启目","任易屏TV 端软
件V2.1.5","软著登字第2
544973 号","2018SR215
878","2018.01.1
7","2018.03.2
8","原始
取得"
47,"武汉
启目","任易屏分享平台
V2.0","软著登字第2
548099 号","2018SR219
004","2018.01.1
7","2018.03.2
9","原始
取得"
48,"武汉
启目","任易屏助销售软
件V1.0","软著登字第2
391015 号","2018SR061
920","2018.01.1
7","2018.01.2
5","原始
取得"
49,"武汉
启目","Android 移动端
启目软件V2.2","软著登字第2
762825 号","2018SR433
730","2018.04.2
8","2018.06.0
8","原始
取得"
50,"武汉
启目","启目APP 软件（I
OS 版）V2.2","软著登字第2
827458 号","2018SR498
363","2018.05.3
1","2018.06.2
8","原始
取得"
51,"兴图
天建","质量安全监管智
能化服务平台V
1.0","软著登字第3
499195 号","2019SR007
8438","2018.04.0
3","2019.01.2
3","原始
取得"
52,"兴图
天建","质量安全监管智
能化服务APP软
件（Android 版）
V1.0","软著登字第3
502016 号","2019SR008
1259","2018.11.1
1","2019.01.2
3","原始
取得"
