项目,2018 年度,2017 年度,2016 年度
项目,2018 年度,2017 年度,2016 年度
财务费用,"-203,492.28","1,181,727.45","2,212,983.21"
其中：利息费用,"116,817.59","1,256,999.09","2,252,255.53"
利息收入,"331,548.62","83,720.84","46,609.60"
资产减值损失,"13,399,098.12","4,927,880.24","1,915,975.56"
加：其他收益,"5,653,637.54","3,650,491.15",-
投资收益,-,-,-
资产处置收益,"-8,509.87",-,-
二、营业利润,"52,041,213.59","38,912,706.24","2,332,905.25"
加：营业外收入,752.10,"314,182.75","4,035,088.75"
减：营业外支出,394.44,-,"30,000.00"
三、利润总额,"52,041,571.25","39,226,888.99","6,337,994.00"
减：所得税费用,"9,186,390.40","7,004,346.49","1,711,214.97"
四、净利润,"42,855,180.85","32,222,542.50","4,626,779.03"
（一）按经营持续性分类：,,,
1、持续经营净利润,"42,855,180.85","32,222,542.50","4,626,779.03"
2、终止经营净利润,-,-,-
（二）按所有权归属分类：,,,
1、归属母公司所有者的净利润,"42,855,180.85","32,222,542.50","4,626,779.03"
2、少数股东损益,-,-,-
五、其他综合收益的税后净额,-,-,-
六、综合收益总额,"42,855,180.85","32,222,542.50","4,626,779.03"
"归属于母公司所有者的综合收
益总额","42,855,180.85","32,222,542.50","4,626,779.03"
"归属于少数股东的综合收益总
额",-,-,-
七、每股收益：,,,
（一）基本每股收益,0.81,0.63,0.09
（二）稀释每股收益,0.81,0.63,0.09
