项目,2018 年度,,2017 年度,,2016 年度
项目,2018 年度,,2017 年度,,2016 年度
,金额,"同比增长
（%）",金额,"同比增长
（%）",金额
一、营业收入,"19,813.64",33.12,"14,884.48",87.10,"7,955.46"
减：营业成本,"5,795.24",15.29,"5,026.82",161.44,"1,922.74"
税金及附加,260.01,16.87,222.47,42.99,155.58
销售费用,"2,861.37",11.87,"2,557.76",12.65,"2,270.50"
管理费用,"2,103.56",46.86,"1,432.34",4.55,"1,370.05"
研发费用,"2,834.28",87.96,"1,507.92",-5.19,"1,590.41"
财务费用,-20.35,-117.22,118.17,-46.60,221.30
资产减值损失,"1,339.91",171.90,492.79,157.20,191.60
加：其他收益,565.36,54.87,365.05,-,-
投资收益,-,-,-,-,-
资产处置收益,-0.85,-,-,-,-
二、营业利润,"5,204.12",33.74,"3,891.27",1567.99,233.29
加：营业外收入,0.08,-99.75,31.42,-92.21,403.51
减：营业外支出,0.04,-,-,-100.00,3.00
