"发行人、兴图新科、
本公司、公司",指,武汉兴图新科电子股份有限公司
"发行人、兴图新科、
本公司、公司",指,武汉兴图新科电子股份有限公司
"本招股说明书、招
股说明书、本招股
书",指,武汉兴图新科电子股份有限公司首次公开发行股票招股说明书
兴图新科有限,指,武汉兴图新科电子有限公司，发行人前身
华创兴图,指,北京华创兴图电子科技有限公司，发行人全资子公司
兴图天建,指,湖北兴图天建科技有限公司，发行人全资子公司
"兴图天建武汉分公
司",指,湖北兴图天建科技有限公司武汉分公司
武汉启目,指,武汉启目科技有限公司，发行人全资子公司
北京启目,指,北京启目科技有限公司，武汉启目全资子公司
兴图投资,指,"武汉兴图投资有限公司，发行人股东，本次发行前持有发行人
19.28%的股权"
光谷人才创投,指,"武汉光谷人才创新投资合伙企业（有限合伙），发行人股东，本
次发行前持有发行人6.38%的股权"
华汇创投,指,"武汉华汇创业投资基金合伙企业（有限合伙），发行人股东，本
次发行前持有发行人5.54%的股权"
汇智蓝健,指,"珠海汇智蓝健投资基金（有限合伙），发行人股东，本次发行前
持有发行人4.35%的股权"
广垦太证,指,"广东广垦太证现代农业股权投资基金（有限合伙），发行人股东，
本次发行前持有发行人2.75%的股权"
创业中心公司,指,武汉东湖新技术创业中心有限公司
太证资管,指,太证资本管理有限责任公司
武汉智慧易视,指,"武汉智慧易视科技有限公司，发行人实际控制人程家明持股
84.00%的公司"
北京智慧易视,指,智慧易视（北京）科技有限公司，武汉智慧易视全资子公司
亲情互联,指,"武汉亲情互联科技有限公司，发行人实际控制人程家明持股
55.00%的公司"
耆爱之家,指,武汉耆爱之家养老服务有限公司，亲情互联持股51.00%的公司
食指动,指,武汉食指动科技有限公司
雷众科技,指,雷众科技（武汉）有限公司
维盛网域,指,北京维盛网域科技有限公司
飞讯数码,指,"北京飞讯数码科技有限公司，上市公司东土科技（300353）的子
公司"
