佳讯飞鸿,指,北京佳讯飞鸿电气股份有限公司，上市公司
佳讯飞鸿,指,北京佳讯飞鸿电气股份有限公司，上市公司
淳中科技,指,北京淳中科技股份有限公司，上市公司
烽火通信,指,烽火通信科技股份有限公司，上市公司
"中国证监会、证监
会",指,中国证券监督管理委员会
科创板,指,上海证券交易所科创板
股东（大）会,指,"武汉兴图新科电子有限公司股东会、武汉兴图新科电子股份有限
公司股东大会"
董事会,指,武汉兴图新科电子股份有限公司董事会
监事会,指,武汉兴图新科电子股份有限公司监事会
《公司法》,指,《中华人民共和国公司法》
《证券法》,指,《中华人民共和国证券法》
《上市规则》,指,《上海证券交易所科创板股票上市规则》
"《承销及保荐协
议》",指,"《武汉兴图新科电子股份有限公司与中泰证券股份有限公司关
于首次公开发行人民币普通股（A 股）并在科创板上市之承销及
保荐协议》"
公司章程,指,截至本招股说明书有效的发行人公司章程
公司章程（草案）,指,"发行人 2019 年第三次临时股东大会审议通过，于发行人上市后
生效的公司章程"
"本次发行、本次股
票发行",指,公司本次向社会公开发行人民币普通股的行为
新股、A 股,指,本次发行的面值为人民币1.00 元的普通股
报告期,指,2016 年、2017 年和2018 年
报告期各期末,指,2016 年12 月31 日、2017 年12 月31 日和2018 年12 月31 日
元、万元,指,人民币元、万元
