12,"武汉
启目",,20118197,第9 类,2017.07.14.-2027.07.13.,原始取得
12,"武汉
启目",,20118197,第9 类,2017.07.14.-2027.07.13.,原始取得
13,"武汉
启目",,20118112,第9 类,2017.07.14.-2027.07.13.,原始取得
14,"武汉
启目",,20118088,第9 类,2017.07.14.-2027.07.13.,原始取得
15,"武汉
启目",,13447897,第37 类,2015.02.14.-2025.02.13.,继受取得
16,"武汉
启目",,13447828,第41 类,2015.02.07.-2025.02.06.,继受取得
17,"武汉
启目",,13447724,第16 类,2015.01.28.-2025.01.27.,继受取得
18,"武汉
启目",,13447649,第42 类,2015.02.07.-2025.02.06.,继受取得
19,"武汉
启目",,13447562,第35 类,2015.02.14.-2025.02.13.,继受取得
20,"武汉
启目",,13447463,第9 类,2015.01.21.-2025.01.20.,继受取得
21,"武汉
启目",,13353982,第37 类,2015.01.21.-2025.01.20.,继受取得
22,"武汉
启目",,13353937,第41 类,2015.01.21.-2025.01.20.,继受取得
23,"武汉
启目",,13353907,第16 类,2015.01.21.-2025.01.20.,继受取得
24,"武汉
启目",,13353875,第42 类,2015.01.21.-2025.01.20.,继受取得
25,"武汉
启目",,13353836,第35 类,2015.01.21.-2025.01.20.,继受取得
26,"武汉
启目",,13346119,第9 类,2015.02.14.-2025.02.13.,继受取得
27,"北京
华创",,13447941,第37 类,2015.02.14.-2025.02.13.,原始取得
28,"北京
华创",,13447846,第41 类,2015.02.07.-2025.02.06.,原始取得
29,"北京
华创",,13447743,第16 类,2015.01.28.-2025.01.27,原始取得
