项目,2018 年度,2017 年度,2016 年度
项目,2018 年度,2017 年度,2016 年度
收到的税费返还,"3,665,740.24","2,621,511.30","3,305,792.07"
收到其他与经营活动有关的现金,"3,038,736.48","1,853,700.69","2,243,576.03"
经营活动现金流入小计,"145,411,944.27","153,426,893.09","99,943,410.88"
购买商品、接受劳务支付的现金,"46,900,698.49","45,441,048.26","37,373,556.25"
支付给职工以及为职工支付的现金,"59,310,320.45","47,032,638.03","42,624,623.69"
支付的各项税费,"23,402,845.25","21,149,255.91","17,746,644.39"
支付其他与经营活动有关的现金,"18,712,810.48","15,209,214.96","12,785,605.45"
经营活动现金流出小计,"148,326,674.67","128,832,157.16","110,530,429.78"
经营活动产生的现金流量净额,"-2,914,730.40","24,594,735.93","-10,587,018.90"
二、投资活动产生的现金流量：,,,
"处置固定资产无形资产长期资产收回
的现金","1,883.62",-,-
收到其他与投资活动有关的现金,-,-,-
投资活动现金流入小计,"1,883.62",-,-
"购建固定资产、无形资产和其他长期
资产支付的现金","3,246,574.49","679,187.76","463,075.74"
支付其他与投资活动有关的现金,-,-,-
投资活动现金流出小计,"3,246,574.49","679,187.76","463,075.74"
投资活动产生的现金流量净额,"-3,244,690.87","-679,187.76","-463,075.74"
三、筹资活动产生的现金流量：,,,
吸收投资收到的现金,-,"50,000,000.00",-
取得借款收到的现金,"15,000,000.00","15,000,000.00","36,000,000.00"
收到其他与筹资活动有关的现金,-,-,"13,800,000.00"
筹资活动现金流入小计,"15,000,000.00","65,000,000.00","49,800,000.00"
偿还债务所支付的现金,"15,000,000.00","36,000,000.00","34,000,000.00"
"分配股利、利润或偿付利息所支付的
现金","5,777,733.95","2,053,999.09","8,796,255.53"
支付其他与筹资活动有关的现金,-,"3,550,000.00","10,250,000.00"
筹资活动现金流出小计,"20,777,733.95","41,603,999.09","53,046,255.53"
筹资活动产生的现金流量净额,"-5,777,733.95","23,396,000.91","-3,246,255.53"
"四、汇率变动对现金及现金等价物的
影响",-,-,-
五、现金及现金等价物净增加额,"-11,937,155.22","47,311,549.08","-14,296,350.17"
加：期初现金及现金等价物余额,"56,095,992.30","8,784,443.22","23,080,793.39"
